0.0005,1 198,355
0.0005,2 360,283
0.001,1 198,355
0.001,2 360,283
0.0015,1 198,355
0.0015,2 360,283
0.002,1 198,355
0.002,2 360,283
0.0025,1 198,355
0.0025,2 360,283
0.003,1 198,355
0.003,2 360,283
0.0035,1 198,355
0.0035,2 360,283
0.004,1 198,355
0.004,2 360,283
0.0045,1 198,355
0.0045,2 360,283
0.005,1 198,355
0.005,2 360,283
0.0055,1 198,355
0.0055,2 360,283
0.006,1 198,355
0.006,2 360,283
0.0065,1 198,355
0.0065,2 360,283
0.007,1 198,355
0.007,2 360,283
0.0075,1 198,355
0.0075,2 360,283
0.008,1 198,355
0.008,2 360,283
0.0085,1 198,355
0.0085,2 360,283
0.009,1 198,355
0.009,2 360,283
0.0095,1 198,355
0.0095,2 360,283
0.01,1 198,355
0.01,2 360,283
0.0105,1 198,355
0.0105,2 360,283
0.011,1 198,355
0.011,2 360,283
0.0115,1 198,355
0.0115,2 360,283
0.012,1 198,355
0.012,2 360,283
0.0125,1 198,355
0.0125,2 360,283
0.013,1 198,355
0.013,2 360,283
0.0135,1 198,355
0.0135,2 360,283
0.014,1 198,355
0.014,2 360,283
0.0145,1 198,355
0.0145,2 360,283
0.015,1 198,355
0.015,2 360,283
0.0155,1 198,355
0.0155,2 360,283
0.016,1 198,355
0.016,2 360,283
0.0165,1 198,355
0.0165,2 360,283
0.017,1 198,355
0.017,2 360,283
0.0175,1 198,355
0.0175,2 360,283
0.018,1 198,355
0.018,2 360,283
0.0185,1 198,355
0.0185,2 360,283
0.019,1 198,355
0.019,2 360,283
0.0195,1 198,355
0.0195,2 360,283
0.02,1 198,355
0.02,2 360,283
0.0205,1 198,355
0.0205,2 360,283
0.021,1 198,355
0.021,2 360,283
0.0215,1 198,355
0.0215,2 360,283
0.022,1 198,355
0.022,2 360,283
0.0225,1 198,355
0.0225,2 360,283
0.023,1 198,355
0.023,2 360,283
0.0235,1 198,355
0.0235,2 360,283
0.024,1 198,355
0.024,2 360,283
0.0245,1 198,355
0.0245,2 360,283
0.025,1 198,355
0.025,2 360,283
0.0255,1 198,355
0.0255,2 360,283
0.026,1 198,355
0.026,2 360,283
0.0265,1 198,355
0.0265,2 360,283
0.027,1 198,355
0.027,2 360,283
0.0275,1 198,355
0.0275,2 360,283
0.028,1 198,355
0.028,2 360,283
0.0285,1 198,355
0.0285,2 360,283
0.029,1 198,355
0.029,2 360,283
0.0295,1 198,355
0.0295,2 360,283
0.03,1 198,355
0.03,2 360,283
0.0305,1 198,355
0.0305,2 360,283
0.031,1 198,355
0.031,2 360,283
0.0315,1 198,355
0.0315,2 360,283
0.032,1 198,355
0.032,2 360,283
0.0325,1 198,355
0.0325,2 360,283
0.033,1 198,355
0.033,2 360,283
0.0335,1 198,355
0.0335,2 360,283
0.034,1 198,355
0.034,2 360,283
0.0345,1 198,355
0.0345,2 360,283
0.035,1 198,355
0.035,2 360,283
0.0355,1 198,355
0.0355,2 360,283
0.036,1 198,355
0.036,2 360,283
0.0365,1 198,355
0.0365,2 360,283
0.037,1 198,355
0.037,2 360,283
0.0375,1 198,355
0.0375,2 360,283
0.038,1 198,355
0.038,2 360,283
0.0385,1 198,355
0.0385,2 360,283
0.039,1 198,355
0.039,2 360,283
0.0395,1 198,355
0.0395,2 360,283
0.04,1 198,355
0.04,2 360,283
0.0405,1 198,355
0.0405,2 360,283
0.041,1 198,355
0.041,2 360,283
0.0415,1 198,355
0.0415,2 360,283
0.042,1 198,355
0.042,2 360,283
0.0425,1 198,355
0.0425,2 360,283
0.043,1 198,355
0.043,2 360,283
0.0435,1 198,355
0.0435,2 360,283
0.044,1 198,355
0.044,2 360,283
0.0445,1 198,355
0.0445,2 360,283
0.045,1 198,355
0.045,2 360,283
0.0455,1 198,355
0.0455,2 360,283
0.046,1 198,355
0.046,2 360,283
0.0465,1 198,355
0.0465,2 360,283
0.047,1 198,355
0.047,2 360,283
0.0475,1 198,355
0.0475,2 360,283
0.048,1 198,355
0.048,2 360,283
0.0485,1 198,355
0.0485,2 360,283
0.049,1 198,355
0.049,2 360,283
0.0495,1 198,355
0.0495,2 360,283
0.05,1 198,355
